date,open,high,low,close,volume,bb_upper_21_2,bb_mid_21,bb_lower_21_2,sma_200,sma_89,sma_50,sma_3,sma_2,macd_line_8_21,macd_signal_5,macd_hist,rsi_13,stoch_rsi_raw_21,stoch_rsi_k_3,stoch_rsi_d_5,plus_di_5,minus_di_5,adx_13
2025-11-14,271.0500,275.9600,269.6000,272.4100,47431201,278.715457,267.543333,256.371209,225.375800,240.688427,255.926400,272.943333,272.680000,4.564588,4.912937,-0.348348,64.760137,54.303846,69.834974,78.315669,16.132268,13.357718,41.965299
2025-11-17,268.8150,270.4900,265.7300,267.4600,44958759,277.120846,268.265714,259.410583,225.533100,241.349551,256.518000,270.940000,269.935000,3.602905,4.476259,-0.873355,53.387660,0.000000,43.020235,72.230599,12.322569,23.884614,41.193585
2025-11-18,269.9900,270.7100,265.3200,267.4400,45677270,276.962115,268.513333,260.064551,225.730250,242.004944,257.179800,269.103333,267.450000,2.847514,3.933344,-1.085830,53.346655,0.000000,18.101282,59.925736,9.952109,20.753271,40.730754
2025-11-19,265.5250,272.2100,265.5000,268.5600,40334193,276.838596,268.789048,260.739499,225.909050,242.661124,258.015200,267.820000,268.000000,2.402945,3.423211,-1.020266,55.423740,11.125051,3.708350,43.946373,12.809451,15.972075,38.442879
2025-11-20,270.8300,275.4300,265.9200,266.2500,45728132,275.876891,269.160476,262.444061,226.077950,243.292921,258.739600,267.416667,267.405000,1.736725,2.861049,-1.124324,50.409134,0.000000,3.708350,27.674638,18.910638,11.342609,37.410011
2025-11-21,265.9500,273.3300,265.6700,271.4900,58923249,274.959666,269.727619,264.495572,226.269300,243.970562,259.488000,268.766667,268.870000,1.918656,2.546918,-0.628262,59.429646,41.746434,17.623828,17.232409,14.638659,9.517557,36.163082
2025-11-24,270.9000,277.0000,270.9000,275.9200,65497571,275.253783,270.351429,265.449074,226.510750,244.683371,260.272400,271.220000,273.705000,2.590251,2.561362,0.028888,65.223298,68.559139,36.768524,15.982067,22.996539,7.770250,37.188181
2025-11-25,275.2700,280.3800,275.2500,276.9700,46824959,276.336468,270.740000,265.143532,226.757350,245.386404,261.048800,274.793333,276.445000,3.150666,2.757797,0.392869,66.453397,74.251967,61.519180,24.665647,29.935004,6.513242,39.270654
2025-11-26,276.9600,279.5300,276.6300,277.5500,33373748,277.385272,271.147143,264.909014,226.982000,246.098764,261.820000,276.813333,277.260000,3.559431,3.025008,0.534423,67.148748,77.470014,73.427040,38.609385,26.864100,5.845076,41.192936
2025-11-28,277.2600,279.0000,275.9865,278.8500,20100859,278.586976,271.582857,264.578738,227.191900,246.830112,262.639400,277.790000,278.200000,3.947256,3.332424,0.614832,68.722944,84.755309,78.825763,53.632867,23.705342,7.668649,41.956142
2025-12-01,278.0100,283.4200,276.1400,283.1000,46517247,280.688410,272.140000,263.591590,227.399750,247.607865,263.391400,279.833333,280.975000,4.699814,3.788221,0.911593,73.260911,100.000000,87.408441,67.589790,33.402828,5.659226,44.192164
2025-12-02,283.0000,287.4000,282.6301,286.1900,53605388,283.276445,272.893333,262.510222,227.607700,248.418427,263.993600,282.713333,284.645000,5.542738,4.373060,1.169678,76.003241,100.000000,94.918436,79.219772,42.243741,4.659313,46.956779
