date,ticker,headline,sentiment_score,source
2025-12-15,FER,MicroStrategy retains place in key index despite delisting threats,0,yahoo
2025-12-15,FER,200% Surge? These 6 Stocks Just Crashed the Nasdaq 100 Party,0.2,yahoo
2025-12-15,FER,Ferrovial Launches $939.2 Million Share Buyback; Joins Nasdaq 100,0,yahoo
2025-12-15,FER,Ferrovial’s US growth drive advances with addition in Nasdaq-100 Index,0.2,yahoo
2025-12-15,FER,How Investors May Respond To Ferrovial (BME:FER) Joining Nasdaq-100 and Launching New €800m Buyback Program,0,yahoo
2025-12-17,FER,This Under-the-Radar Stock Is Crushing the Market in 2025 and Is Joining the Nasdaq-100 Next Week. Should You Buy Shares Now?,0,yahoo
2025-12-20,FER,Ferrovial (BME:FER): Is Nasdaq 100 Inclusion Already Priced Into the Share Price?,0,yahoo
2026-01-10,CCEP,Is Coca-Cola Europacific Partners PLC's (AMS:CCEP) 18% ROE Better Than Average?,0,yahoo
2026-01-14,CCEP,BofA Securities Downgrades Coca-Cola Europacific Partners to Neutral,-0.2,yahoo
2026-01-14,CCEP,BofA downgrades Coca-Cola bottler as muted top-line caps valuation upside,-0.2,yahoo
2026-01-22,FER,Smith-Midland Gets $1.8 Million Barrier Contract,0,yahoo
2026-01-22,FER,Smith-Midland Awarded $1.8M Barrier Contract for Georgia DOT Project,0,yahoo
2026-01-26,CCEP,"Private companies account for 37% of Coca-Cola Europacific Partners PLC's (AMS:CCEP) ownership, while institutions account for 31%",0,yahoo
2026-02-04,CTAS,"Cintas Earns Spot on Newsweek’s America’s Greatest Workplaces for Culture, Belonging & Community 2026 List",0,yahoo
2026-02-04,NXPI,"TD Cowen Adjusts NXP Semiconductors NV Price Target to $250 From $285, Maintains Buy Rating",0,yahoo
2026-02-04,NXPI,"KeyBanc Adjusts Price Target on NXP Semiconductors to $300 From $280, Maintains Overweight Rating",0,yahoo
2026-02-04,PAYX,Should You Buy the 3 Highest-Paying Dividend Stocks in the Nasdaq?,0,yahoo
2026-02-04,PAYX,Paychex Acquisition Of Paycor Expands Platform And Deepens Client Relationships,0,yahoo
2026-02-04,PCAR,Madison Asset Initiates MSA Safety Position,0,yahoo
2026-02-04,PCAR,Do Wall Street Analysts Like PACCAR Stock?,0,yahoo
2026-02-05,NXPI,NXP Refocuses On Automotive Connectivity And Physical AI Growth Drivers,0.2,yahoo
2026-02-05,ROP,What Analysts Think Is Changing The Roper Technologies (ROP) Story Now,0,yahoo
2026-02-06,CTAS,Wall Street’s Favorite Uniform Rental Stock Just Proved Why It Commands a 55% Valuation Premium,0,yahoo
2026-02-06,CTAS,Cintas Corporation (NASDAQ:CTAS) is a favorite amongst institutional investors who own 65%,0,yahoo
2026-02-06,LIN,"Amazon downgraded, Roblox upgraded: Wall Street's top analyst calls",0,yahoo
2026-02-06,NXPI,3 Large-Cap Stocks We Keep Off Our Radar,0,yahoo
2026-02-06,PCAR,PACCAR Parts Strength And Tariffs Shape Valuation And Earnings Outlook,0,yahoo
2026-02-06,ROP,"Roper Technologies Insider Bought Shares Worth $501,844, According to a Recent SEC Filing",0,yahoo
2026-02-07,LIN,Linde price target raised to $530 from $495 at Morgan Stanley,0,yahoo
2026-02-07,ORLY,"O'Reilly Automotive, Inc. (NASDAQ:ORLY) Full-Year Results Just Came Out: Here's What Analysts Are Forecasting For This Year",0,yahoo
2026-02-08,CTAS,Cintas (NASDAQ:CTAS) Could Be A Buy For Its Upcoming Dividend,0,yahoo
2026-02-08,LIN,Linde plc (NASDAQ:LIN) Yearly Results Just Came Out: Here's What Analysts Are Forecasting For This Year,0,yahoo
2026-02-08,ROP,Analysts Stay Bullish on Roper Technologies (ROP) Despite Price Target Cuts Following Mixed Q4 Results,-0.2,yahoo
2026-02-09,EA,QSE Announces Fiscal 2025 Year End Filing,0,yahoo
2026-02-09,FAST,Fastenal Company and RFK Racing Announce Body Guard Brand as Primary Focus of Partnership,0,yahoo
2026-02-09,FAST,"Take the Zacks Approach to Beat the Markets: Hershey's, Fastenal, Kennametal in Focus",0.2,yahoo
2026-02-09,NXPI,The Return Trends At NXP Semiconductors (NASDAQ:NXPI) Look Promising,0,yahoo
2026-02-09,NXPI,What Are Wall Street Analysts' Target Price for NXP Semiconductors Stock?,0,yahoo
2026-02-09,NXPI,5 Insightful Analyst Questions From NXP Semiconductors’s Q4 Earnings Call,0,yahoo
2026-02-09,ROP,"An Intrinsic Calculation For Roper Technologies, Inc. (NASDAQ:ROP) Suggests It's 41% Undervalued",0,yahoo
2026-02-09,TRI,Goldman issues a blunt warning to beat-up software stock investors,0.2,yahoo
2026-02-10,EA,"Oak-Eagle AcquireCo, Inc. Announces Tender Offers and Consent Solicitations for Any and All of Electronic Arts Inc.'s 1.850% Senior Notes Due 2031 and 2.950% Senior Notes Due 2051",0,yahoo
2026-02-10,FAST,"With 86% ownership in Fastenal Company (NASDAQ:FAST), institutional investors have a lot riding on the business",0,yahoo
